trial,trial_type,stimulus_type,stimulus_description,image_filename,go_type_index,response,rt,correct,timestamp
1,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.44037329999991925,1,2026-02-12_10h43.35.746
2,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.284187700000075,1,2026-02-12_10h43.37.282
3,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.2512636999999813,1,2026-02-12_10h43.38.610
4,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.29806090000010954,1,2026-02-12_10h43.40.034
5,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.2507639999998901,1,2026-02-12_10h43.41.282
6,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.2682361999995919,1,2026-02-12_10h43.42.650
7,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.3035519000000022,1,2026-02-12_10h43.44.186
8,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.2975079000002552,1,2026-02-12_10h43.45.490
9,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.3064408000000185,1,2026-02-12_10h43.46.993
10,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.31454200000007404,1,2026-02-12_10h43.48.386
11,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.443481900000279,1,2026-02-12_10h43.49.786
12,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.24659139999994295,1,2026-02-12_10h43.51.314
13,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.2425954999998794,1,2026-02-12_10h43.52.746
14,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.31249220000017885,1,2026-02-12_10h43.54.138
15,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.6543586000002506,1,2026-02-12_10h43.55.890
16,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,,,0,2026-02-12_10h43.57.929
17,go,Go_stim_1,Cruz,Go_stim_1.png,0,,,0,2026-02-12_10h43.59.833
18,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.23171069999989413,1,2026-02-12_10h44.01.402
19,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.2895685999997113,1,2026-02-12_10h44.02.907
20,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.3658845999998448,1,2026-02-12_10h44.04.146
21,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.307745800000248,1,2026-02-12_10h44.05.386
22,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.30072229999996125,1,2026-02-12_10h44.06.842
