trial,trial_type,stimulus_type,stimulus_description,image_filename,go_type_index,response,rt,correct,timestamp
1,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-11_11h16.28.406
2,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-11_11h16.30.569
3,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-11_11h16.32.688
4,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.4210371619997204,1,2026-02-11_11h16.34.396
5,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-11_11h16.36.674
6,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.3315169210000022,1,2026-02-11_11h16.38.220
7,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.3097216000001026,1,2026-02-11_11h16.39.900
8,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.5263542110001254,1,2026-02-11_11h16.41.732
9,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.3199778510002034,1,2026-02-11_11h16.43.444
10,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.28868451799962713,1,2026-02-11_11h16.44.748
11,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,space,0.214296873999956,0,2026-02-11_11h16.46.188
12,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.27313301399999546,1,2026-02-11_11h16.47.444
13,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.20677399500027605,1,2026-02-11_11h16.48.675
14,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-11_11h16.51.006
15,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,space,0.24308768500031874,0,2026-02-11_11h16.52.635
16,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.3960930759999428,1,2026-02-11_11h16.54.203
17,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.40580457499982003,1,2026-02-11_11h16.55.931
18,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.8137832320003326,1,2026-02-11_11h16.58.019
19,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.8238034490000246,1,2026-02-11_11h16.59.931
20,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-11_11h17.02.089
21,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-11_11h17.04.142
22,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-11_11h17.06.281
23,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-11_11h17.08.388
24,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-11_11h17.10.710
