trial,trial_type,stimulus_type,stimulus_description,image_filename,go_type_index,response,rt,correct,timestamp
1,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.8442278999996233,1,2026-02-12_10h58.46.395
2,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.33041880000018864,1,2026-02-12_10h58.47.995
3,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.21639920000006896,1,2026-02-12_10h58.49.426
4,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.19953690000011193,1,2026-02-12_10h58.50.690
5,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.1527749000001677,1,2026-02-12_10h58.51.730
6,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.27074569999967935,1,2026-02-12_10h58.53.234
7,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.2685054999997192,1,2026-02-12_10h58.54.538
8,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.2458742999997412,1,2026-02-12_10h58.55.883
9,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.2811396000001878,1,2026-02-12_10h58.57.371
10,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.22556239999994432,1,2026-02-12_10h58.58.858
11,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.2834773999998106,1,2026-02-12_10h59.00.099
12,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.26902890000019397,1,2026-02-12_10h59.01.275
13,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.24952600000005987,1,2026-02-12_10h59.02.563
14,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.22239089999993666,1,2026-02-12_10h59.04.146
15,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.28432340000017575,1,2026-02-12_10h59.05.571
16,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.28295840000009775,1,2026-02-12_10h59.07.042
17,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.2685148000000481,1,2026-02-12_10h59.08.259
18,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.22494830000005095,1,2026-02-12_10h59.09.475
19,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.2736353999998755,1,2026-02-12_10h59.10.723
20,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.27547920000006343,1,2026-02-12_10h59.12.219
21,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.25893300000007,1,2026-02-12_10h59.13.723
22,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.4284986000002391,1,2026-02-12_10h59.15.466
23,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.27049810000016805,1,2026-02-12_10h59.16.835
24,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.4541475000000901,1,2026-02-12_10h59.18.491
25,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.2425284000000829,1,2026-02-12_10h59.19.874
26,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.26357229999985066,1,2026-02-12_10h59.21.074
27,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.2903544000000693,1,2026-02-12_10h59.22.314
28,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.279909299999872,1,2026-02-12_10h59.23.514
29,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.25757979999980307,1,2026-02-12_10h59.24.715
30,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.324046200000339,1,2026-02-12_10h59.26.011
31,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.2659330999999838,1,2026-02-12_10h59.27.595
32,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.3212162999998327,1,2026-02-12_10h59.28.978
33,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.2855217999999695,1,2026-02-12_10h59.30.258
34,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.24253009999983988,1,2026-02-12_10h59.31.683
35,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.3325278999996044,1,2026-02-12_10h59.33.035
36,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.09354489999986981,1,2026-02-12_10h59.34.371
37,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.2687832999999955,1,2026-02-12_10h59.35.618
38,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.2684064000000035,1,2026-02-12_10h59.36.851
