trial,trial_type,stimulus_type,stimulus_description,image_filename,go_type_index,response,rt,correct,timestamp
1,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_14h59.34.468
2,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_14h59.38.756
3,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_14h59.42.977
4,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_14h59.47.201
5,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_14h59.51.465
6,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_14h59.55.684
7,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_14h59.59.893
8,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h00.04.225
9,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h00.08.396
10,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h00.12.774
11,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h00.17.092
12,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h00.21.370
13,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h00.25.712
14,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h00.29.946
15,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h00.34.072
16,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h00.38.463
17,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h00.42.866
18,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h00.47.225
19,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h00.51.426
20,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h00.55.597
21,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h00.59.806
22,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h01.04.021
23,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h01.08.359
24,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h01.12.549
25,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h01.16.801
26,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h01.21.136
27,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h01.25.454
28,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h01.29.729
29,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h01.34.000
30,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h01.38.180
31,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h01.42.390
32,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h01.46.784
33,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h01.51.081
34,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h01.55.255
35,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h01.59.445
36,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h02.03.861
37,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h02.08.163
38,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h02.12.364
39,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h02.16.509
40,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h02.20.811
41,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h02.24.928
42,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h02.29.190
43,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h02.33.320
44,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h02.37.657
45,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h02.41.874
46,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h02.45.982
47,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h02.50.321
48,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h02.54.673
49,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h02.58.828
50,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h03.03.249
51,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h03.07.585
52,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h03.11.833
53,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h03.16.186
54,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h03.20.453
55,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h03.24.704
56,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h03.28.994
57,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h03.33.172
58,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h03.37.614
59,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h03.42.014
60,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h03.46.352
61,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h03.50.521
62,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h03.54.993
63,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h03.59.242
64,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h04.03.623
65,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h04.07.775
66,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h04.12.117
67,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h04.16.514
68,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h04.20.829
69,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h04.25.077
70,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h04.29.397
71,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h04.33.597
72,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h04.37.829
73,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h04.42.155
74,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h04.46.275
75,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h04.50.394
76,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h04.54.503
77,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h04.58.843
78,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h05.03.060
79,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h05.07.354
80,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h05.11.701
81,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h05.16.065
82,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h05.20.372
83,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h05.24.493
84,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h05.28.619
85,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h05.32.817
86,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h05.37.046
87,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-02-12_15h05.41.513
88,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h05.45.764
89,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h05.49.855
90,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h05.54.085
91,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h05.58.275
92,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h06.02.539
93,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h06.06.860
94,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h06.11.221
95,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-02-12_15h06.15.493
96,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h06.19.639
97,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h06.23.980
98,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-12_15h06.28.357
99,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-02-12_15h06.32.596
100,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-02-12_15h06.36.735
