trial,trial_type,stimulus_type,stimulus_description,image_filename,go_type_index,response,rt,correct,timestamp
1,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.4085957999996026,1,2026-04-28_12h37.19.066
2,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.40662979999979143,1,2026-04-28_12h37.20.641
3,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.4374874000004638,1,2026-04-28_12h37.22.210
4,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.5001182000014524,1,2026-04-28_12h37.23.850
5,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.46519359999911103,1,2026-04-28_12h37.25.505
6,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.5279148999998142,1,2026-04-28_12h37.27.178
7,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.45586849999926926,1,2026-04-28_12h37.28.745
8,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.46882000000005064,1,2026-04-28_12h37.30.441
9,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.45564739999827,1,2026-04-28_12h37.31.897
10,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.4900837000004685,1,2026-04-28_12h37.33.681
11,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,space,0.4467663999985234,0,2026-04-28_12h37.34.985
12,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.4328224000000773,1,2026-04-28_12h37.36.442
13,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.4028984999986278,1,2026-04-28_12h37.37.890
14,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.4601457999997365,1,2026-04-28_12h37.39.274
15,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.5297089000014239,1,2026-04-28_12h37.40.730
16,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.5340986999999586,1,2026-04-28_12h37.42.617
17,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.4674290999992081,1,2026-04-28_12h37.44.218
18,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_12h37.46.265
19,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.5093402999991667,1,2026-04-28_12h37.47.681
20,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.5630773000011686,1,2026-04-28_12h37.49.514
21,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.5072043000000122,1,2026-04-28_12h37.50.929
22,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_12h37.53.176
23,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.5269604999994044,1,2026-04-28_12h37.54.986
24,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.5284078000004229,1,2026-04-28_12h37.56.545
25,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_12h37.58.525
26,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.5233047999990958,1,2026-04-28_12h38.00.202
27,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.5370714999990014,1,2026-04-28_12h38.01.730
28,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.5601062000005186,1,2026-04-28_12h38.03.266
29,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.5431470999992598,1,2026-04-28_12h38.04.938
30,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.544084400000429,1,2026-04-28_12h38.06.569
31,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_12h38.08.674
32,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.415184199999203,1,2026-04-28_12h38.10.098
33,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_12h38.12.034
34,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.5108025000008638,1,2026-04-28_12h38.13.538
35,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.5796689999988303,1,2026-04-28_12h38.15.138
36,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.4837437999995018,1,2026-04-28_12h38.16.977
37,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_12h38.19.054
38,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.4936711999998806,1,2026-04-28_12h38.20.513
