trial,trial_type,stimulus_type,stimulus_description,image_filename,go_type_index,response,rt,correct,timestamp
1,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_09h57.22.647
2,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h57.24.498
3,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_09h57.26.439
4,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_09h57.28.642
5,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_09h57.30.745
6,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h57.32.698
7,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_09h57.34.825
8,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_09h57.36.707
9,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_09h57.38.932
10,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h57.41.180
11,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_09h57.43.049
12,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h57.45.183
13,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h57.47.318
14,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_09h57.49.401
15,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_09h57.51.364
16,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_09h57.53.510
17,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h57.55.919
18,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h57.58.025
19,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_09h58.00.304
20,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_09h58.02.646
21,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_09h58.04.741
22,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h58.06.671
23,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_09h58.08.956
24,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h58.10.850
25,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h58.12.757
26,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_09h58.14.789
27,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h58.17.115
28,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_09h58.19.395
29,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_09h58.21.389
30,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_09h58.23.545
31,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h58.25.736
32,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h58.27.832
33,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h58.29.852
34,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_09h58.32.003
35,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h58.33.983
36,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_09h58.36.041
37,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h58.38.174
38,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_09h58.40.124
39,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_09h58.42.247
40,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h58.44.479
41,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h58.46.771
42,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_09h58.49.072
43,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h58.51.092
44,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h58.53.100
45,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_09h58.55.240
46,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h58.57.415
47,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h58.59.320
48,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_09h59.01.211
49,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_09h59.03.074
50,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_09h59.05.022
51,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_09h59.07.270
52,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_09h59.09.520
53,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_09h59.11.591
54,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h59.13.806
55,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h59.15.851
56,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_09h59.17.811
57,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_09h59.19.825
58,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_09h59.22.013
59,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_09h59.24.157
60,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_09h59.26.340
61,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h59.28.515
62,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_09h59.30.675
63,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h59.32.950
64,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h59.35.181
65,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h59.37.393
66,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h59.39.344
67,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h59.41.224
68,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h59.43.301
69,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h59.45.412
70,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_09h59.47.502
71,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h59.49.858
72,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_09h59.51.923
73,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_09h59.53.861
74,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.22838679999995293,1,2026-04-28_09h59.55.226
75,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.3361638999999741,1,2026-04-28_09h59.56.554
76,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.20250400000008995,1,2026-04-28_09h59.58.066
77,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.20890510000003815,1,2026-04-28_09h59.59.433
78,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,space,0.28086949999988065,0,2026-04-28_10h00.00.658
79,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.19112879999988763,1,2026-04-28_10h00.01.946
80,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.18702030000008563,1,2026-04-28_10h00.03.138
81,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.04525449999982811,1,2026-04-28_10h00.04.346
82,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.12526400000001559,1,2026-04-28_10h00.05.578
83,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.12592759999984082,1,2026-04-28_10h00.06.714
84,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.15853569999990214,1,2026-04-28_10h00.07.834
85,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.1887767000000622,1,2026-04-28_10h00.08.962
86,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.06992650000006506,1,2026-04-28_10h00.10.426
87,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.15197550000016236,1,2026-04-28_10h00.11.818
88,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.17737020000004122,1,2026-04-28_10h00.13.218
89,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,space,0.19778539999992972,0,2026-04-28_10h00.14.650
90,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.20546599999988757,1,2026-04-28_10h00.15.970
