trial,trial_type,stimulus_type,stimulus_description,image_filename,go_type_index,response,rt,correct,timestamp
1,go,Go_stim_1,Cruz,Go_stim_1.png,0,,,0,2026-02-12_11h23.08.438
2,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.22761979999995674,1,2026-02-12_11h23.09.851
3,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.2512768999995387,1,2026-02-12_11h23.11.227
4,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.2577431000008801,1,2026-02-12_11h23.12.515
5,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.2666839000003165,1,2026-02-12_11h23.13.843
6,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.5421859000007316,1,2026-02-12_11h23.15.403
7,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.7696465999997599,1,2026-02-12_11h23.17.058
8,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.3586029999996754,1,2026-02-12_11h23.18.763
9,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.4277107999996588,1,2026-02-12_11h23.20.363
10,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.23384970000006433,1,2026-02-12_11h23.21.499
11,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.2553929000005155,1,2026-02-12_11h23.22.747
12,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.39003019999927346,1,2026-02-12_11h23.24.316
13,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.27409159999933763,1,2026-02-12_11h23.25.667
14,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.4632432999997036,1,2026-02-12_11h23.27.524
15,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.30020669999976235,1,2026-02-12_11h23.28.883
16,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.29922520000036457,1,2026-02-12_11h23.30.396
17,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.2623329999996713,1,2026-02-12_11h23.31.883
18,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1,space,0.2710439000002225,1,2026-02-12_11h23.33.131
19,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.2505940000000919,1,2026-02-12_11h23.34.371
20,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.29322080000019923,1,2026-02-12_11h23.35.811
21,go,Go_stim_1,Cruz,Go_stim_1.png,0,space,0.27794879999964905,1,2026-02-12_11h23.37.363
22,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.2788055000000895,1,2026-02-12_11h23.38.803
23,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.27547129999948083,1,2026-02-12_11h23.40.275
24,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,space,0.27079610000055254,1,2026-02-12_11h23.41.692
25,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,,,0,2026-02-12_11h23.43.730
26,go,Go_stim_1,Cruz,Go_stim_1.png,0,,,0,2026-02-12_11h23.45.964
27,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,,,0,2026-02-12_11h23.48.189
28,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,space,0.7638120999999956,1,2026-02-12_11h23.50.163
29,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3,,,0,2026-02-12_11h23.52.348
30,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2,,,0,2026-02-12_11h23.54.361
