trial,trial_type,stimulus_type,stimulus_description,image_filename,go_type_index,response,rt,correct,timestamp
1,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.437324800001079,1,2026-04-28_13h27.49.921
2,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.3480621999988216,1,2026-04-28_13h27.51.513
3,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.2946412000001146,1,2026-04-28_13h27.53.042
4,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.39501709999967716,1,2026-04-28_13h27.54.417
5,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.3681871000007959,1,2026-04-28_13h27.55.930
6,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.2777081999993243,1,2026-04-28_13h27.57.377
7,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.3257794000001013,1,2026-04-28_13h27.58.537
8,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.32501159999992524,1,2026-04-28_13h28.00.081
9,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.35601889999998093,1,2026-04-28_13h28.01.649
10,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.33095990000038,1,2026-04-28_13h28.03.225
11,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.34741480000047886,1,2026-04-28_13h28.04.673
12,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.3774690999998711,1,2026-04-28_13h28.05.929
13,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.32294809999984864,1,2026-04-28_13h28.07.281
14,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.3301320999999007,1,2026-04-28_13h28.08.641
15,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.33089059999838355,1,2026-04-28_13h28.09.978
16,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_13h28.11.932
17,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_13h28.13.973
18,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.4815930999993725,1,2026-04-28_13h28.15.593
19,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,space,0.3206138000005012,0,2026-04-28_13h28.16.937
20,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_13h28.19.144
21,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.3690009999991162,1,2026-04-28_13h28.20.609
22,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.42431979999855685,1,2026-04-28_13h28.22.273
23,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.4400017999996635,1,2026-04-28_13h28.23.722
24,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_13h28.25.704
25,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_13h28.27.848
26,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.45234479999999166,1,2026-04-28_13h28.29.282
27,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.34272319999945466,1,2026-04-28_13h28.30.665
