trial,trial_type,stimulus_type,stimulus_description,image_filename,go_type_index,response,rt,correct,timestamp
1,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_10h43.53.782
2,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_10h43.56.024
3,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_10h43.58.137
4,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_10h43.59.984
5,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_10h44.01.928
6,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_10h44.03.799
7,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_10h44.05.823
8,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_10h44.07.994
9,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_10h44.10.015
10,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_10h44.12.051
11,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_10h44.14.094
12,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_10h44.16.332
13,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,,,0,2026-04-28_10h44.18.255
14,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_10h44.20.301
15,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_10h44.22.442
16,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_10h44.24.483
17,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,,,0,2026-04-28_10h44.26.733
18,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_10h44.28.666
19,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_10h44.30.932
20,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-04-28_10h44.33.149
21,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,,,0,2026-04-28_10h44.35.210
22,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-04-28_10h44.37.365
