trial,trial_type,stimulus_type,stimulus_description,image_filename,go_type_index,response,rt,correct,timestamp
1,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,,,0,2026-02-11_16h40.56.377
2,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.43969619999995757,1,2026-02-11_16h40.57.916
3,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.25797579999994014,1,2026-02-11_16h40.59.285
4,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.21439110000005712,1,2026-02-11_16h41.00.541
5,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.2005808999999772,1,2026-02-11_16h41.02.061
6,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.2317855999999665,1,2026-02-11_16h41.03.325
7,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.22759050000001935,1,2026-02-11_16h41.04.621
8,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.2451279000000568,1,2026-02-11_16h41.05.805
9,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.20444770000005974,1,2026-02-11_16h41.07.165
10,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.1948443999999654,1,2026-02-11_16h41.08.604
11,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.24466429999995398,1,2026-02-11_16h41.09.820
12,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.38215660000003027,1,2026-02-11_16h41.11.509
13,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.29341150000004745,1,2026-02-11_16h41.12.837
14,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.2216885000000275,1,2026-02-11_16h41.14.149
15,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.20965560000001915,1,2026-02-11_16h41.15.636
16,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.20605599999998958,1,2026-02-11_16h41.17.149
17,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.2608354999999847,1,2026-02-11_16h41.18.421
