trial,trial_type,stimulus_type,stimulus_description,image_filename,go_type_index,response,rt,correct,timestamp
1,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.6026973000007274,1,2026-02-12_11h57.47.460
2,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.6948707000001377,1,2026-02-12_11h57.49.220
3,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.2962683999994624,1,2026-02-12_11h57.50.460
4,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.5150197000002663,1,2026-02-12_11h57.51.995
5,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.2705428999997821,1,2026-02-12_11h57.53.164
6,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.2505637999993269,1,2026-02-12_11h57.54.372
7,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.25436009999975795,1,2026-02-12_11h57.55.788
8,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.2822378999999273,1,2026-02-12_11h57.57.364
9,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.2118372000004456,1,2026-02-12_11h57.58.652
10,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.24923479999961273,1,2026-02-12_11h57.59.916
11,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.23824340000010125,1,2026-02-12_11h58.01.324
12,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.23287789999994857,1,2026-02-12_11h58.02.500
13,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.30727329999990616,1,2026-02-12_11h58.03.980
14,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.2232979999998861,1,2026-02-12_11h58.05.516
15,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.22681910000028438,1,2026-02-12_11h58.06.660
16,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.2509594000002835,1,2026-02-12_11h58.07.868
17,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.22442000000046392,1,2026-02-12_11h58.09.060
18,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.045350699999289645,1,2026-02-12_11h58.10.333
19,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.23662729999978183,1,2026-02-12_11h58.11.524
20,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.16810999999961496,1,2026-02-12_11h58.12.796
21,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.16751560000011523,1,2026-02-12_11h58.14.069
22,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.18676389999927778,1,2026-02-12_11h58.15.213
23,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,space,0.272670599999401,0,2026-02-12_11h58.16.604
24,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.07847489999949175,1,2026-02-12_11h58.17.941
